policy_id,policy_name,category,subcategory,applicable_to,department,description,version,effective_date,review_cycle,approval_authority,is_mandatory,last_updated_year,details
1119,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Sales Team,HR,Outlines the criteria and calculation method for annual performance bonuses.,v2.0,10/08/2024,As Needed,Line Manager,Yes,2024,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 5, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 20000}"
1120,Reimbursements — Payroll & Compensation,Payroll & Compensation,Reimbursements,Sales Team,Engineering,"Defines the salary components including basic pay, HRA, DA, and special allowances.",v1.2,18/01/2023,As Needed,HR Executive,No,2023,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""1.5x"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 15000}"
1121,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Management,Customer Support,"Defines the salary components including basic pay, HRA, DA, and special allowances.",v2.1,03/07/2023,Quarterly,Department Head,Yes,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 5000}"
1122,Increment Policy — Payroll & Compensation,Payroll & Compensation,Increment Policy,Sales Team,IT,"Specifies eligibility, rate, and approval process for overtime compensation.",v1.2,17/01/2024,Bi-Annual,Department Head,No,2024,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 5, ""overtime_rate"": ""1.5x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 15000}"
1123,Increment Policy — Payroll & Compensation,Payroll & Compensation,Increment Policy,Permanent Employees,IT,"Covers reimbursement categories, claim limits, and submission deadlines.",v1.1,13/10/2022,Quarterly,CHRO,No,2022,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 20000}"
1124,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Sales Team,Sales,"Specifies eligibility, rate, and approval process for overtime compensation.",v2.0,20/08/2021,Quarterly,Line Manager,No,2021,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""N/A"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 5000}"
1125,Reimbursements — Payroll & Compensation,Payroll & Compensation,Reimbursements,Contract Employees,HR,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v3.0,07/01/2021,Annual,Department Head,Yes,2021,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""2x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 20000}"
1126,Reimbursements — Payroll & Compensation,Payroll & Compensation,Reimbursements,Contract Employees,Engineering,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v3.0,22/08/2023,Bi-Annual,Department Head,No,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""1.5x"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 15000}"
1127,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Sales Team,Admin,"Covers reimbursement categories, claim limits, and submission deadlines.",v1.1,08/05/2023,Quarterly,Department Head,No,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 10, ""overtime_rate"": ""N/A"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 20000}"
1128,Overtime Pay — Payroll & Compensation,Payroll & Compensation,Overtime Pay,Contract Employees,Operations,"Specifies eligibility, rate, and approval process for overtime compensation.",v1.0,27/06/2024,As Needed,Line Manager,No,2024,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""1.5x"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 5000}"
1129,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Sales Team,Finance,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v1.1,05/02/2023,Quarterly,Line Manager,Yes,2023,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 10, ""overtime_rate"": ""1.5x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 10000}"
1130,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Management,Admin,"Specifies eligibility, rate, and approval process for overtime compensation.",v1.0,14/11/2022,Annual,Department Head,No,2022,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""N/A"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 15000}"
1131,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,All Employees,Customer Support,"Defines the salary components including basic pay, HRA, DA, and special allowances.",v1.1,14/03/2022,Annual,Line Manager,Yes,2022,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""2x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 15000}"
1132,Overtime Pay — Payroll & Compensation,Payroll & Compensation,Overtime Pay,Contract Employees,Sales,"Covers reimbursement categories, claim limits, and submission deadlines.",v1.2,05/09/2024,As Needed,CHRO,Yes,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""1.5x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 15000}"
1133,Increment Policy — Payroll & Compensation,Payroll & Compensation,Increment Policy,Sales Team,Engineering,Outlines the criteria and calculation method for annual performance bonuses.,v3.0,06/10/2022,Quarterly,CHRO,No,2022,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""N/A"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 5000}"
1134,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Permanent Employees,Admin,Outlines the criteria and calculation method for annual performance bonuses.,v1.2,13/04/2023,Annual,Department Head,No,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""2x"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 5000}"
1135,Overtime Pay — Payroll & Compensation,Payroll & Compensation,Overtime Pay,Permanent Employees,Sales,"Defines the salary components including basic pay, HRA, DA, and special allowances.",v2.0,22/09/2024,Bi-Annual,CHRO,Yes,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 5, ""overtime_rate"": ""N/A"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 15000}"
1136,Bonus Policy — Payroll & Compensation,Payroll & Compensation,Bonus Policy,Management,Admin,Outlines the criteria and calculation method for annual performance bonuses.,v3.0,23/09/2024,Quarterly,Line Manager,Yes,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""N/A"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 10000}"
1137,Increment Policy — Payroll & Compensation,Payroll & Compensation,Increment Policy,Contract Employees,Sales,"Specifies eligibility, rate, and approval process for overtime compensation.",v2.1,19/09/2022,Annual,HR Manager,Yes,2022,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 10, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 20000}"
1138,Bonus Policy — Payroll & Compensation,Payroll & Compensation,Bonus Policy,Contract Employees,Sales,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v2.1,05/09/2024,Annual,HR Executive,No,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""N/A"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 20000}"
1139,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Management,Engineering,"Specifies eligibility, rate, and approval process for overtime compensation.",v3.0,14/06/2021,Annual,Department Head,Yes,2021,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""1.5x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 20000}"
1140,Increment Policy — Payroll & Compensation,Payroll & Compensation,Increment Policy,Permanent Employees,Legal,Outlines the criteria and calculation method for annual performance bonuses.,v1.2,13/02/2024,As Needed,HR Executive,Yes,2024,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""1.5x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 20000}"
1141,Bonus Policy — Payroll & Compensation,Payroll & Compensation,Bonus Policy,All Employees,Operations,"Defines the salary components including basic pay, HRA, DA, and special allowances.",v2.0,27/04/2024,As Needed,Line Manager,Yes,2024,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""2x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 15000}"
1142,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,All Employees,Customer Support,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v1.0,04/10/2021,Bi-Annual,Department Head,Yes,2021,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""N/A"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 5000}"
1143,Salary Structure — Payroll & Compensation,Payroll & Compensation,Salary Structure,Management,Finance,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v2.1,17/05/2022,Annual,Department Head,Yes,2022,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 15000}"
1144,Bonus Policy — Payroll & Compensation,Payroll & Compensation,Bonus Policy,Contract Employees,Legal,Outlines the criteria and calculation method for annual performance bonuses.,v1.2,21/11/2022,Annual,CHRO,No,2022,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""2x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 15000}"
1145,Overtime Pay — Payroll & Compensation,Payroll & Compensation,Overtime Pay,Management,HR,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v1.2,08/04/2024,Bi-Annual,HR Executive,No,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 10, ""overtime_rate"": ""2x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 20000}"
1146,Reimbursements — Payroll & Compensation,Payroll & Compensation,Reimbursements,Permanent Employees,Finance,"Details the annual increment cycle, eligibility criteria, and performance linkage.",v1.2,15/06/2021,Quarterly,Department Head,No,2021,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 25, ""overtime_rate"": ""N/A"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 5000}"
1147,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Contract Employees,Engineering,"Covers reimbursement categories, claim limits, and submission deadlines.",v1.0,07/06/2024,Bi-Annual,Department Head,No,2024,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 5, ""overtime_rate"": ""1.5x"", ""increment_month"": ""April"", ""reimbursement_limit_inr"": 5000}"
1148,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Contract Employees,Legal,Outlines the criteria and calculation method for annual performance bonuses.,v1.1,13/08/2023,Quarterly,Line Manager,No,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 15, ""overtime_rate"": ""2x"", ""increment_month"": ""January"", ""reimbursement_limit_inr"": 20000}"
1149,Variable Pay — Payroll & Compensation,Payroll & Compensation,Variable Pay,Management,Finance,"Specifies eligibility, rate, and approval process for overtime compensation.",v1.2,19/04/2021,As Needed,CHRO,No,2021,"{""pay_cycle"": ""Monthly"", ""bonus_percentage"": 5, ""overtime_rate"": ""2x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 20000}"
1150,Bonus Policy — Payroll & Compensation,Payroll & Compensation,Bonus Policy,Sales Team,Legal,Outlines the criteria and calculation method for annual performance bonuses.,v2.1,09/08/2023,As Needed,Department Head,Yes,2023,"{""pay_cycle"": ""Bi-Monthly"", ""bonus_percentage"": 20, ""overtime_rate"": ""1.5x"", ""increment_month"": ""July"", ""reimbursement_limit_inr"": 15000}"
1151,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Field Staff,IT,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v3.0,27/11/2021,Annual,HR Manager,Yes,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1152,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,All Employees,IT,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v2.0,22/08/2024,Annual,CHRO,Yes,2024,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1153,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Support Staff,Engineering,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,04/09/2021,Bi-Annual,HR Executive,No,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1154,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Night Shift Employees,Admin,Details the biometric and digital attendance marking systems and regularization process.,v2.1,22/02/2023,Bi-Annual,Department Head,No,2023,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1155,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Field Staff,Engineering,"Defines official working hours, break timings, and minimum hours per day requirements.",v3.0,28/07/2024,Annual,Department Head,Yes,2024,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1156,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Field Staff,Engineering,Specifies consequences of habitual late arrivals and the grace period allowed.,v1.0,28/06/2022,Annual,CHRO,Yes,2022,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1157,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Support Staff,Customer Support,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v2.0,25/12/2024,Quarterly,Line Manager,Yes,2024,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1158,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Operations Staff,Marketing,"Defines official working hours, break timings, and minimum hours per day requirements.",v2.1,01/11/2023,As Needed,Line Manager,No,2023,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1159,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Support Staff,Sales,Details the biometric and digital attendance marking systems and regularization process.,v2.1,03/05/2021,Bi-Annual,CHRO,No,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1160,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,All Employees,Operations,"Defines official working hours, break timings, and minimum hours per day requirements.",v2.0,05/02/2021,Quarterly,CHRO,Yes,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1161,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Support Staff,Customer Support,"Defines official working hours, break timings, and minimum hours per day requirements.",v2.1,10/07/2021,As Needed,CHRO,No,2021,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1162,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Night Shift Employees,Operations,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.0,14/05/2022,Annual,Department Head,No,2022,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1163,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Support Staff,Finance,"Covers flexi-time window, core hours, and monthly hour balancing requirements.",v2.0,01/07/2023,Bi-Annual,HR Manager,No,2023,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1164,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Operations Staff,Marketing,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,06/07/2023,As Needed,Department Head,No,2023,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1165,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Field Staff,Sales,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,24/08/2021,Bi-Annual,Department Head,No,2021,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1166,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Operations Staff,Finance,Specifies consequences of habitual late arrivals and the grace period allowed.,v1.2,03/08/2024,As Needed,Department Head,Yes,2024,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1167,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Support Staff,Sales,"Defines official working hours, break timings, and minimum hours per day requirements.",v1.1,19/11/2021,Bi-Annual,CHRO,Yes,2021,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1168,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Night Shift Employees,IT,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v3.0,12/07/2024,Bi-Annual,Line Manager,Yes,2024,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1169,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Night Shift Employees,Sales,Details the biometric and digital attendance marking systems and regularization process.,v1.0,11/08/2023,Quarterly,Department Head,Yes,2023,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1170,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Night Shift Employees,Operations,"Defines official working hours, break timings, and minimum hours per day requirements.",v1.0,21/02/2023,Annual,HR Manager,Yes,2023,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1171,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,Field Staff,Finance,Details the biometric and digital attendance marking systems and regularization process.,v2.0,13/01/2024,Bi-Annual,Department Head,No,2024,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1172,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Operations Staff,Sales,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,11/04/2023,Bi-Annual,HR Manager,No,2023,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1173,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Support Staff,Marketing,"Defines official working hours, break timings, and minimum hours per day requirements.",v1.2,20/10/2023,Bi-Annual,HR Executive,Yes,2023,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1174,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Operations Staff,HR,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,19/07/2022,As Needed,HR Executive,No,2022,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1175,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Operations Staff,Admin,Specifies consequences of habitual late arrivals and the grace period allowed.,v2.1,16/03/2021,Quarterly,HR Manager,No,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1176,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Field Staff,Sales,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v2.1,02/05/2023,Bi-Annual,HR Manager,No,2023,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1177,Flexi-Time Policy — Attendance & Timing,Attendance & Timing,Flexi-Time Policy,All Employees,Sales,"Covers flexi-time window, core hours, and monthly hour balancing requirements.",v1.2,25/12/2021,Quarterly,Line Manager,Yes,2021,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1178,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Field Staff,Marketing,Specifies consequences of habitual late arrivals and the grace period allowed.,v1.0,07/12/2022,Annual,HR Executive,Yes,2022,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1179,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,All Employees,Marketing,"Covers flexi-time window, core hours, and monthly hour balancing requirements.",v2.1,23/05/2023,Bi-Annual,CHRO,No,2023,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1180,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Operations Staff,Finance,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v1.1,16/03/2024,Bi-Annual,CHRO,No,2024,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1181,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Field Staff,Operations,"Covers flexi-time window, core hours, and monthly hour balancing requirements.",v3.0,11/10/2024,As Needed,CHRO,Yes,2024,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1182,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,Operations Staff,Finance,Details the biometric and digital attendance marking systems and regularization process.,v2.0,11/09/2023,Quarterly,CHRO,Yes,2023,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1183,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Field Staff,Sales,"Defines official working hours, break timings, and minimum hours per day requirements.",v1.1,14/04/2021,As Needed,HR Executive,No,2021,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1184,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Night Shift Employees,Marketing,"Defines official working hours, break timings, and minimum hours per day requirements.",v3.0,21/05/2024,Annual,Department Head,Yes,2024,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""Yes""}"
1185,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Field Staff,HR,"Defines official working hours, break timings, and minimum hours per day requirements.",v2.1,01/12/2021,As Needed,Department Head,Yes,2021,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 8.5, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1186,Attendance Tracking — Attendance & Timing,Attendance & Timing,Attendance Tracking,All Employees,Sales,"Defines official working hours, break timings, and minimum hours per day requirements.",v1.2,13/03/2022,Quarterly,CHRO,Yes,2022,"{""office_hours"": ""8am-5pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""Yes""}"
1187,Late Arrival Policy — Attendance & Timing,Attendance & Timing,Late Arrival Policy,Operations Staff,Legal,"Outlines shift rotation schedules, shift differentials, and shift change request procedures.",v2.1,04/03/2021,Bi-Annual,HR Executive,No,2021,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 30, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1188,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Operations Staff,Sales,Specifies consequences of habitual late arrivals and the grace period allowed.,v1.1,28/11/2021,Quarterly,Line Manager,No,2021,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 10, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Saturday & Sunday"", ""biometric_required"": ""No""}"
1189,Office Hours — Attendance & Timing,Attendance & Timing,Office Hours,Operations Staff,Legal,Details the biometric and digital attendance marking systems and regularization process.,v1.0,17/01/2021,As Needed,Department Head,No,2021,"{""office_hours"": ""10am-7pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 8, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
1190,Shift Policy — Attendance & Timing,Attendance & Timing,Shift Policy,Field Staff,Engineering,"Defines official working hours, break timings, and minimum hours per day requirements.",v2.1,07/01/2023,Annual,HR Manager,No,2023,"{""office_hours"": ""9am-6pm"", ""grace_period_minutes"": 15, ""minimum_hours_per_day"": 9, ""weekly_offs"": ""Sunday only"", ""biometric_required"": ""No""}"
